Rank,Username,Level
1,jaodum,9.35
2,wiljean-,8.15
3,zstucke,8.05
4,rywang,8.00
5,amendelo,7.91
6,akharrou,7.77
7,ssharafe,7.59
8,cbagdon,7.28
9,jechiang,7.12
10,emamenko,7.06
11,jgilfix,6.89
12,cmckelvy,6.41
13,abronzo,6.18
14,alatif,6.17
15,jorobins,6.13
16,bpace,6.02
17,jboggs,5.93
18,jkaplin,5.91
19,sxu,5.90
20,aarafat,5.80
21,kkozlov,5.54
22,thsilva,5.50
23,brjorgen,5.44
24,bkjornra,5.36
25,mqian,5.19
26,mboulara,5.16
27,gguarnay,5.12
28,zsong,5.11
29,atokarev,5.01
30,syu,5.00
31,fsjogren,4.93
32,zhtut,4.93
33,canderso,4.88
34,phtruong,4.87
35,ckifalo,4.76
36,dhong,4.68
37,omeiring,4.68
38,bigissin,4.66
39,osfally,4.59
40,hhow-cho,4.51
41,yinzhang,4.47
42,ako,4.43
43,msharma-,4.43
44,jquince,4.41
45,brfeltz,4.40
46,rsmith,4.35
47,aaubakir,4.34
48,mirivera,4.33
49,anhorban,4.32
50,jaliu,4.32
51,alfranco,4.27
52,lspiess,4.27
53,kyellayi,4.21
54,bmyrzata,4.19
55,mkryukov,4.10
56,obuksha,4.10
57,ytsai,4.10
58,pasmadja,4.04
59,gozsertt,3.95
60,ltaboada,3.95
61,alkozma,3.92
62,kchen2,3.90
63,rosgill,3.90
64,kchong,3.89
65,ezhukova,3.86
66,fguzman,3.86
67,rlima,3.81
68,vrabaib,3.81
69,sgusache,3.76
70,chford,3.70
71,eagulov,3.67
72,hyulee,3.64
73,choho,3.62
74,jmora,3.61
75,mhuerta,3.58
76,jamwanji,3.56
77,mdemiche,3.42
78,patrisor,3.41
79,aliwang,3.38
80,mansharm,3.33
81,iskrakhm,3.31
82,freynoso,3.27
83,idaeho,3.27
84,elhampto,3.26
85,mbutt,3.25
86,cyluu,3.23
87,abshanbh,3.19
88,anekhaen,3.16
89,nhan,3.03
90,apasos-g,3.00
91,atazhigu,2.96
92,bwootton,2.96
93,kskostyl,2.96
94,grougeau,2.93
95,chjeong,2.87
96,trufford,2.79
97,ibotnaru,2.77
98,sauesugi,2.76
99,kmira,2.70
100,tkatolik,2.69
101,eulee,2.67
102,cbernabo,2.66
103,brzamora,2.60
104,elmiller,2.57
105,vdokukin,2.57
106,kmatushe,2.55
107,abaptist,2.50
108,eugbotna,2.46
109,sakakova,2.45
110,dsaripap,2.44
111,ralvarez,2.44
112,asakhi-h,2.42
113,rayramos,2.36
114,yson,2.32
115,bisingh,2.29
116,wmaguire,2.27
117,skythoma,2.26
118,nfilin,2.23
119,aazhiken,2.22
120,cygross,2.22
121,pgobeil-,2.21
122,dishenbe,2.16
123,dkurbano,2.15
124,lde-la-g,2.14
125,mmcarthu,2.08
126,samahatt,2.03
127,nolakim,2.02
128,ssettle,1.83
129,gmoreno-,1.81
130,vhernand,1.78
131,nnazaruk,1.77
132,tvandivi,1.75
133,jipark,1.71
134,atomasev,1.70
135,aleitner,1.64
136,ititkov,1.64
137,gmaximov,1.63
138,apavlovs,1.56
139,chuchan,1.56
140,vabiga,1.56
141,hecampbe,1.53
142,jomuldro,1.44
143,dhadzic,1.41
144,yan-chen,1.41
145,abialko,1.35
146,kelugo,1.30
147,emdiaz,1.23
148,wharring,1.21
149,sohan,1.18
150,joshguti,1.16
151,tbaasan,1.16
152,salcindo,1.04
153,jparbs,1.03
154,csalceda,1.01
155,jihong,1.01
156,vbulakh,1.00
157,asafonov,0.99
158,bimunoz,0.97
159,cgenthe,0.97
160,cpinto-t,0.97
161,hmoledin,0.92
162,dhatting,0.88
163,fraalvar,0.87
164,crengifo,0.86
165,shameer,0.86
166,mrengifo,0.83
167,awoodod,0.79
168,mbavuudo,0.75
169,prassolo,0.71
170,alradzie,0.70
171,mhuber,0.65
172,mbernik,0.63
173,rallen,0.56
174,kergeorg,0.51
175,pburton,0.51
176,jnyveen,0.49
177,khomar,0.47
178,miadonis,0.47
179,dpreciad,0.44
180,jproleik,0.44
181,whood,0.42
182,atilahun,0.41
183,wsun,0.40
184,ykuanysh,0.38
185,hkazimi,0.35
186,ehuddas,0.26
187,jhamada,0.26
188,kachenna,0.26
189,keperez,0.26
190,mnovilla,0.26
191,pgimzaus,0.26
192,shaque,0.26
193,smaletyc,0.26
194,cdias-fl,0.23
195,phwu,0.22
196,tpugh,0.22
197,vnazeri,0.22
198,aakim,0.21
199,ematevos,0.21
200,jcollins,0.21
201,sabeugre,0.21
202,majames,0.18
203,aliberal,0.12
204,akantur,0.00
205,aletsai,0.00
206,almannil,0.00
207,alrodrig,0.00
208,alvyu,0.00
209,aordonez,0.00
210,athorne,0.00
211,carrocha,0.00
212,cnwachuk,0.00
213,cratu,0.00
214,csalazar,0.00
215,dasmith,0.00
216,dgarces,0.00
217,dmota,0.00
218,erchan,0.00
219,eukoh,0.00
220,eytbarek,0.00
221,fgallego,0.00
222,gjang,0.00
223,hgonzale,0.00
224,iadedoku,0.00
225,ilerner,0.00
226,jawang,0.00
227,jpierre2,0.00
228,kdominiq,0.00
229,kkaralyu,0.00
230,kmar,0.00
231,laguilar,0.00
232,liwong,0.00
233,lkang,0.00
234,mde-carv,0.00
235,mhung,0.00
236,mmansill,0.00
237,mmollamo,0.00
238,msemichi,0.00
239,naokbazg,0.00
240,ncarranz,0.00
241,nmora-go,0.00
242,nnwachuk,0.00
243,obisiriy,0.00
244,oboothe,0.00
245,patrsory,0.00
246,pchaika,0.00
247,rarodrig,0.00
248,smiller,0.00
249,tleung,0.00
250,tyoung,0.00
251,yemha,0.00
252,yijzhou,0.00
253,ykashans,0.00
254,zhzhai,0.00
255,zpetrov,0.00
